address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
652 Albany Shaker Rd,wired-coffee-and-bagel-albany,"['Coffee & Tea', 'Breakfast & Brunch', 'Bagels']",https://s3-media3.fl.yelpcdn.com/bphoto/UZOjoq02PoOkbspeIQM17w/ls.jpg,Wired Coffee and Bagel,53.0,$,4.0,https://www.yelp.com/biz/wired-coffee-and-bagel-albany?osq=restaurants
1044 Central Ave,joes-grill-albany,['American Traditional'],https://s3-media2.fl.yelpcdn.com/bphoto/9nxtzZLYqqKRTZojSVmCHw/ls.jpg,Joeâs Grill,5.0,$,4.0,https://www.yelp.com/biz/joes-grill-albany?osq=restaurants
1200 Western Ave,city-line-bar-and-grill-albany-2,"['American New', 'Sports Bars']",https://s3-media1.fl.yelpcdn.com/bphoto/Pe7zAe1omxkvab-viO21YA/ls.jpg,City Line Bar and Grill,261.0,$$,3.5,https://www.yelp.com/biz/city-line-bar-and-grill-albany-2?osq=restaurants
450 Madison Ave,chriss-southern-connection-albany,"['Soul Food', 'Desserts', 'Seafood']",https://s3-media4.fl.yelpcdn.com/bphoto/RdBa8zY9q_sVuK6yqvsUQw/ls.jpg,Chrisâs Southern Connection,12.0,,4.5,https://www.yelp.com/biz/chriss-southern-connection-albany?osq=restaurants
301 Lark St,savoy-taproom-albany,"['Cocktail Bars', 'American New']",https://s3-media3.fl.yelpcdn.com/bphoto/txkKyQ5mU9-AfDhLUkBJ6A/ls.jpg,Savoy Taproom,79.0,$$,4.0,https://www.yelp.com/biz/savoy-taproom-albany?osq=restaurants
144 State St,wellingtons-albany,"['Cocktail Bars', 'American New', 'Breakfast & Brunch']",https://s3-media1.fl.yelpcdn.com/bphoto/k6v3L_r7BCvDhbOGfTnTKA/ls.jpg,Wellingtonâs,89.0,$$,3.5,https://www.yelp.com/biz/wellingtons-albany?osq=restaurants
1328 Central Ave,ralphs-tavern-albany-2,"['Italian', 'Bars', 'Pizza']",https://s3-media2.fl.yelpcdn.com/bphoto/Q1zV4Dwzx00q9hyj4n55ow/ls.jpg,Ralphâs Tavern,215.0,$$,4.0,https://www.yelp.com/biz/ralphs-tavern-albany-2?osq=restaurants
809 Madison Ave,viva-cinco-de-mayo-albany-2,['Tacos'],https://s3-media3.fl.yelpcdn.com/bphoto/F_lrpEuVQqn8gFUyAoc5ng/ls.jpg,Viva Cinco De Mayo,66.0,$$,4.5,https://www.yelp.com/biz/viva-cinco-de-mayo-albany-2?osq=restaurants
3 Ferry St,illusive-restaurant-and-bar-rensselaer,"['American Traditional', 'Breakfast & Brunch', 'Cocktail Bars']",https://s3-media4.fl.yelpcdn.com/bphoto/tIqGlCm5g2Yf6LjGzbOe4w/ls.jpg,Illusive Restaurant & Bar,36.0,,4.5,https://www.yelp.com/biz/illusive-restaurant-and-bar-rensselaer?osq=restaurants
42 State St,jacks-oyster-house-albany,"['Seafood', 'American Traditional']",https://s3-media4.fl.yelpcdn.com/bphoto/YNxc1pkN1xYBL2pV-XmCfQ/ls.jpg,Jackâs Oyster House,224.0,$$$,3.5,https://www.yelp.com/biz/jacks-oyster-house-albany?osq=restaurants
145 Wolf Rd,spicy-mint-albany-albany,"['Indian', 'Buffets']",https://s3-media1.fl.yelpcdn.com/bphoto/rNG4ZegOFiTtTCeQuGYPag/ls.jpg,Spicy Mint Albany,120.0,$$,4.0,https://www.yelp.com/biz/spicy-mint-albany-albany?osq=restaurants
289 New Scotland Ave,restaurant-navona-albany,"['Italian', 'Pasta Shops', 'Pizza']",https://s3-media3.fl.yelpcdn.com/bphoto/rm9c04iyRenUA3cDST_VTQ/ls.jpg,Restaurant Navona,78.0,$$,4.0,https://www.yelp.com/biz/restaurant-navona-albany?osq=restaurants
1 Erie Blvd,eggys-place-albany,"['Food Trucks', 'Breakfast & Brunch', 'Sandwiches']",https://s3-media4.fl.yelpcdn.com/bphoto/LwSX_7_Bf-SVl1eCp1nHlw/ls.jpg,Eggyâs Place,38.0,$,5.0,https://www.yelp.com/biz/eggys-place-albany?osq=restaurants
577 New Scotland Ave,nikos-cafe-albany-2,['Greek'],https://s3-media2.fl.yelpcdn.com/bphoto/L0xhSzDYIP2FIl6sNQOwCQ/ls.jpg,Nikos Cafe,7.0,,4.0,https://www.yelp.com/biz/nikos-cafe-albany-2?osq=restaurants
1197 Central Ave,pellegrino-m-importing-albany,"['Grocery', 'Delis', 'Imported Food']",https://s3-media4.fl.yelpcdn.com/bphoto/KulolA-gdX3rbJOIQDxvAg/ls.jpg,Pellegrino M Importing,40.0,$$,4.5,https://www.yelp.com/biz/pellegrino-m-importing-albany?osq=restaurants
698 N Pearl St,il-faro-restaurant-and-bar-menands,"['Bars', 'Italian']",https://s3-media3.fl.yelpcdn.com/bphoto/bDyprO3pFhgJXBaqLCMx4Q/ls.jpg,IL Faro Restaurant & Bar,89.0,$$,4.5,https://www.yelp.com/biz/il-faro-restaurant-and-bar-menands?osq=restaurants
257 Washington Ave Ext,treviso-by-mallozzis-albany,"['Italian', 'Breakfast & Brunch', 'Buffets']",https://s3-media1.fl.yelpcdn.com/bphoto/JZezYTdOE5XmpTcrJXuWUw/ls.jpg,Treviso By Mallozziâs,22.0,$$,4.0,https://www.yelp.com/biz/treviso-by-mallozzis-albany?osq=restaurants
